id,fecha,hora,hora_num,franja,municipio,coordinacion,colonia,calle,latitud,longitud,victimas,sexo,movil,observaciones,dist_base_km,windows_maps_query
275,2026-04-12,18:50:00,18,vespertina (14-22),NICOLAS ROMERO,METROPOLITANA,NICOLAS ROMERO,"CARRETERA NICOLÁS ROMERO-VILLA DEL CARBÓN, PARAJE LAS MILPITAS-PILARES",19.6345406477657,-99.3005154703152,1,H,Se desconoce el Móvil de la Agresión,IMPACTO DE ARMA DE FUEGO,0.98,"CARRETERA NICOLAS ROMERO-VILLA DEL CARBON, PARAJE LAS MILPITAS-PILARES, NICOLAS ROMERO, Estado de México, México"
276,2026-04-12,22:18:00,22,nocturna (22-06),TEOLOYUCAN,METROPOLITANA,CERRADA DEL BOSQUE,"CALLE SINALOA, ESQUINA CERRADA DEL BOSQUE, BARRIO TLATENCO",19.7408563299583,-99.1861029497828,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,1.88,"CALLE SINALOA, ESQUINA CERRADA DEL BOSQUE, BARRIO TLATENCO, CERRADA DEL BOSQUE, TEOLOYUCAN, Estado de México, México"
277,2026-04-13,00:25:00,0,nocturna (22-06),TLALNEPANTLA,METROPOLITANA,SAN JUAN IXHUATEPEC,CJON. DE MIGUEL HIDALGO ESQUINA GRAL. JUAN ÁLVAREZ,19.5214563492487,-99.1048103835915,1,H,Se desconoce el Móvil de la Agresión,IMPACTO DE ARMA DE FUEGO,0.74,"CJON. DE MIGUEL HIDALGO ESQUINA GRAL. JUAN ALVAREZ, SAN JUAN IXHUATEPEC, TLALNEPANTLA, Estado de México, México"
278,2026-04-13,01:10:00,1,nocturna (22-06),LA PAZ,ORIENTE,TLAZALA,CARRETERA MÉXICO-TEXCOCO ESQUINA CON PROLONGACIÓN SANTOS DEGOLLADO,19.3733240785888,-98.9451437675376,1,H,Ataque directo por venta de droga,IMPACTO DE ARMA DE FUEGO,2.52,"CARRETERA MEXICO-TEXCOCO ESQUINA CON PROLONGACION SANTOS DEGOLLADO, TLAZALA, LA PAZ, Estado de México, México"
279,2026-04-13,09:46:00,9,matutina (06-14),TECAMAC,ECATEPEC,SANTA MARÍA OZUMBILLA,AV DEL PANTEÓN,19.6747301158192,-98.9905939042451,2,H,SIN DATOS,LESIONES EN EL ABDOMEN Y EXTREMIDAD CEFÁLICA Y CUBIERTO CON DOS COBIJAS,2.11,"AVENIDA DEL PANTEON, SANTA MARIA OZUMBILLA, TECAMAC, Estado de México, México"
280,2026-04-14,05:30:00,5,nocturna (22-06),POLOTITLAN,ATLACOMULCO,,CARRETERA FEDERAL MÉXICO-QUERETARO KIM 142,20.278731766079,-99.8963372711687,1,H,Intento de Robo,IMPACTO DE ARMA DE FUEGO,10.44,"CARRETERA FEDERAL MEXICO-QUERETARO KIM 142, POLOTITLAN, Estado de México, México"
281,2026-04-14,09:25:00,9,matutina (06-14),METEPEC,VALLE TOLUCA,AGRÍCOLA LÁZARO CÁRDENAS,CALLE 12 DE OCTUBRE ESQUINA BENITO JUÁREZ,19.2591490936463,-99.5542020037525,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,3.01,"CALLE 12 DE OCTUBRE ESQUINA BENITO JUAREZ, AGRICOLA LAZARO CARDENAS, METEPEC, Estado de México, México"
282,2026-04-14,17:20:00,17,vespertina (14-22),CHIAUTLA,ORIENTE,SANTIAGO CHIMALPA,CALLE SIN NOMBRE ESQUINA CON CALLE PAPALOTLA,19.5729908186018,-98.8935938484943,1,H,Movil de la agresion Riña,IMPACTO DE ARMA DE FUEGO,2.72,"CALLE SIN NOMBRE ESQUINA CON CALLE PAPALOTLA, SANTIAGO CHIMALPA, CHIAUTLA, Estado de México, México"
283,2026-04-15,12:10:00,12,matutina (06-14),ZUMPANGO,ECATEPEC,LAS PLAZAS,CALLE JOSÉ CLEMENTE OROZCO ESQUINA SOR JUANA INÉS DE LA CRUZ,19.81113387447,-99.033557627183,2,H y M,SIN DATOS,IMPACTO DE ARMA DE FUEGO,8.12,"CALLE JOSE CLEMENTE OROZCO ESQUINA SOR JUANA INES DE LA CRUZ, LAS PLAZAS, ZUMPANGO, Estado de México, México"
284,2026-04-15,17:46:00,17,vespertina (14-22),ZINACANTEPEC,VALLE TOLUCA,SAN ANTONIO ACAHUALCO,"CAMINO A SAN PEDRO TEJALPA, ESQUINA CON PROLONGACIÓN CERRILLO",19.252075629402,-99.781304492459,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,4.34,"CAMINO A SAN PEDRO TEJALPA, ESQUINA CON PROLONGACION CERRILLO, SAN ANTONIO ACAHUALCO, ZINACANTEPEC, Estado de México, México"
285,2026-04-16,06:30:00,6,matutina (06-14),NICOLAS ROMERO,METROPOLITANA,PROGRESO INDUSTRIAL,CALLE LINDA VISTA,19.6231852000749,-99.2977560049337,1,H,Posible ajuste de cuentas,IMPACTO DE ARMA DE FUEGO,0.98,"CALLE LINDA VISTA, PROGRESO INDUSTRIAL, NICOLAS ROMERO, Estado de México, México"
286,2026-04-16,14:00:00,14,vespertina (14-22),ACOLMAN,ECATEPEC,SAN BARTOLO,CALLE BENITO JUÁREZ POBLADO DE SAN BARTOLO,19.6559455431078,-98.9014701075049,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,2.7,"CALLE BENITO JUAREZ POBLADO DE SAN BARTOLO, SAN BARTOLO, ACOLMAN, Estado de México, México"
287,2026-04-16,21:00:00,21,vespertina (14-22),TULTEPEC,ECATEPEC,EL MIRADOR,CALLE CLAVELES,19.6975443548665,-99.126370080183,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,4.84,"CALLE CLAVELES, EL MIRADOR, TULTEPEC, Estado de México, México"
288,2026-04-17,,,sin dato,CUAUTITLAN IZCALLI,METROPOLITANA,S/D,S/D,,,1,H,Sin datos,IMPACTO DE ARMA DE FUEGO,,"S/D, S/D, CUAUTITLAN IZCALLI, Estado de México, México"
289,2026-04-17,,,sin dato,NAUCALPAN,METROPOLITANA,S/D,S/D,,,1,H,Sin datos,IMPACTO DE ARMA DE FUEGO,,"S/D, S/D, NAUCALPAN, Estado de México, México"
290,2026-04-17,00:04:00,0,nocturna (22-06),TULTITLAN,METROPOLITANA,LAS TORRES,CALLE 16 DE SEPTIEMBRE ESQUINA CON 3RA CALLE INDEPENDENCIA,19.6062350921725,-99.1587136443127,1,H,Sin datos,IMPACTO DE ARMA DE FUEGO,1.56,"CALLE 16 DE SEPTIEMBRE ESQUINA CON 3RA CALLE INDEPENDENCIA, LAS TORRES, TULTITLAN, Estado de México, México"
291,2026-04-17,03:50:00,3,nocturna (22-06),TULTITLAN,METROPOLITANA,LAS ALMENAS,AV TULTEPEC,19.6878230767155,-99.0889250697764,1,H,Sin datos,IMPACTO DE ARMA DE FUEGO,1.06,"AVENIDA TULTEPEC, LAS ALMENAS, TULTITLAN, Estado de México, México"
292,2026-04-18,10:30:00,10,matutina (06-14),ZUMPANGO,ECATEPEC,SAN SEBASTIÁN,AV MORELOS,19.7803361902937,-99.0647350561989,1,H,SIN DATOS,SIGNOS DE VIOLENCIA,6.06,"AVENIDA MORELOS, SAN SEBASTIAN, ZUMPANGO, Estado de México, México"
293,2026-04-18,19:12:00,19,vespertina (14-22),ECATEPEC,ECATEPEC,HÉROES DE LA INDEPENDENCIA (AMPLIACIÓN MIGUEL HIDALGO),CALLE JUAN ALDAMA ESQUINA CON MARIANO MATAMOROS,19.5376190733316,-99.0461610350507,1,H,SIN DATOS,IMPACTO DE ARMA DE FUEGO,1.25,"CALLE JUAN ALDAMA ESQUINA CON MARIANO MATAMOROS, HEROES DE LA INDEPENDENCIA (AMPLIACION MIGUEL HIDALGO), ECATEPEC, Estado de México, México"
294,2026-04-18,22:55:00,22,nocturna (22-06),CUAUTITLAN IZCALLI,METROPOLITANA,PARQUE INDUSTRIAL LA JOYA,AV DESARROLLO ESQUINA CON INTERCEPTOR PONIENTE,19.6525527500829,-99.1855566211653,1,H,Sin datos,IMPACTO DE ARMA DE FUEGO,1.04,"AVENIDA DESARROLLO ESQUINA CON INTERCEPTOR PONIENTE, PARQUE INDUSTRIAL LA JOYA, CUAUTITLAN IZCALLI, Estado de México, México"
295,2026-04-19,13:00:00,13,matutina (06-14),OTUMBA,ORIENTE,CUAUTLACINGO,CALLE DURANGO,19.6929293230869,-98.7836228091094,1,H,RIÑA,IMPACTO DE ARMA DE FUEGO,2.96,"CALLE DURANGO, CUAUTLACINGO, OTUMBA, Estado de México, México"
296,2026-04-19,15:30:00,15,vespertina (14-22),NAUCALPAN,METROPOLITANA,LOMAS DE CHAMAPA,CALLE SATURNO ENTRE JAZMÍN,19.4521432476847,-99.2666603201375,1,H,Sin datos,IMPACTO DE ARMA DE FUEGO,2.71,"CALLE SATURNO ENTRE JAZMIN, LOMAS DE CHAMAPA, NAUCALPAN, Estado de México, México"
297,2026-04-20,11:20:00,11,matutina (06-14),VALLE DE CHALCO,CHALCO,LA PUNTA,CALLE BRECHA ESQUINA AV DE LAS BOMBAS,19.301274680396,-98.9678530730741,1,H,Posible ajuste de cuentas,IMPACTO DE ARMA DE FUEGO,1.69,"CALLE BRECHA ESQUINA AV DE LAS BOMBAS, LA PUNTA, VALLE DE CHALCO, Estado de México, México"
