folio,fecha,hora,hora_num,franja,municipio,coordinacion,incidente,familia,peso_violencia,latitud,longitud,geo_confianza
ECA26072301410,2026-07-23,08:10:00,8,matutina (06-14),COCOTITLAN,CHALCO,PERSONA AGRESIVA,rina,1.5,19.215576,-98.844999,COORDENADA
ECA26072301417,2026-07-23,08:12:00,8,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.474675,-99.058025,COORDENADA
ECA26072301493,2026-07-23,08:27:00,8,matutina (06-14),TLALNEPANTLA,METROPOLITANA,AMENAZA DE SUICIDIO,deceso_dudoso,3.0,19.52309,-99.219835,COORDENADA
ECA26072301509,2026-07-23,08:29:00,8,matutina (06-14),COACALCO,ECATEPEC,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,,,ALTA
ECA26072301537,2026-07-23,08:35:00,8,matutina (06-14),TLALNEPANTLA,METROPOLITANA,TENTATIVA DE SUICIDIO,deceso_dudoso,3.0,19.52116,-99.22062,COORDENADA
ECA26072301541,2026-07-23,08:35:00,8,matutina (06-14),ECATEPEC,ECATEPEC,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.59782,-99.00203,COORDENADA
ECA26072301564,2026-07-23,08:39:00,8,matutina (06-14),IXTAPALUCA,CHALCO,VIOLENCIA DE PAREJA,violencia_genero,2.0,19.29347,-98.83558,COORDENADA
ECA26072301573,2026-07-23,08:40:00,8,matutina (06-14),TECAMAC,ECATEPEC,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.622015,-99.040695,COORDENADA
ECA26072301622,2026-07-23,08:49:00,8,matutina (06-14),TLALNEPANTLA,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.5216,-99.09266,COORDENADA
ECA26072301651,2026-07-23,08:54:00,8,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA NO LOCALIZADA O DESAPARECIDA,desaparicion,3.0,19.51193,-99.05789,COORDENADA
ECA26072301653,2026-07-23,08:55:00,8,matutina (06-14),TULTITLAN,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.665215,-99.094465,COORDENADA
ECA26072301672,2026-07-23,08:58:00,8,matutina (06-14),IXTAPALUCA,CHALCO,ROBO A TRANSPORTISTA O VEHICULO COMERCIAL CON VIOLENCIA,robo_violento,2.0,19.354525,-98.66814,COORDENADA
ECA26072301698,2026-07-23,09:03:00,9,matutina (06-14),NICOLAS ROMERO,METROPOLITANA,PERSONA NO LOCALIZADA O DESAPARECIDA,desaparicion,3.0,19.618405,-99.29556,COORDENADA
ECA26072301817,2026-07-23,09:18:00,9,matutina (06-14),TECAMAC,ECATEPEC,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.622015,-99.040695,COORDENADA
ECA26072301830,2026-07-23,09:20:00,9,matutina (06-14),HUEHUETOCA,ECATEPEC,PERSONA LESIONADA POR ARMA BLANCA,arma_blanca,3.0,19.835334,-99.206299,COORDENADA
ECA26072301899,2026-07-23,09:28:00,9,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.49047,-99.04627,COORDENADA
ECA26072301951,2026-07-23,09:35:00,9,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.41314,-99.052465,COORDENADA
ECA26072301972,2026-07-23,09:37:00,9,matutina (06-14),LA PAZ,ORIENTE,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.382255,-98.93676,COORDENADA
ECA26072302046,2026-07-23,09:47:00,9,matutina (06-14),NEXTLALPAN,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.718832,-99.048756,COORDENADA
ECA26072302103,2026-07-23,09:53:00,9,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.41603,-99.04201,COORDENADA
ECA26072302141,2026-07-23,09:57:00,9,matutina (06-14),CUAUTITLAN IZCALLI,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.65523,-99.21083,COORDENADA
ECA26072302150,2026-07-23,09:58:00,9,matutina (06-14),TLALNEPANTLA,METROPOLITANA,ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,robo_violento,2.0,19.539185,-99.199485,COORDENADA
